"id","place","parent","country_code"
"100028","Надымский район","11232",""
"11229","Надым","100028",""
"11230","Новый Уренгой","11232",""
"11231","Ноябрьск","11232",""
"58","Салехард","11232",""
"166","СНГ (исключая Россию)","0",""
"29386","Абхазия","166",""
"167","Азербайджан","166",""
"168","Армения","166",""
"149","Беларусь","166",""
"29632","Брест и область","149",""
"21015","Барановичи","29632",""
"153","Брест","29632",""
"102089","Кобринский район","29632",""
"26010","Кобрин","102089",""
"21510","Пинск","29632",""
"29633","Витебск и область","149",""
"154","Витебск","29633",""
"26030","Новополоцк","29633",""
"102187","Оршанский район","29633",""
"10276","Орша","102187",""
"102188","Полоцкий район","29633",""
"10275","Полоцк","102188",""
"29631","Гомель и область","149",""
"155","Гомель","29631",""
"102103","Жлобинский район","29631",""
"26966","Жлобин","102103",""
"102104","Калинковичский район","29631",""
"102235","Калинковичи","102104",""
"102108","Мозырский район","29631",""
"21274","Мозырь","102108",""
"102112","Речицкий район","29631",""
"26008","Речица","102112",""
"102113","Рогачёвский район","29631",""
"26027","Рогачёв","102113",""
"102114","Светлогорский район","29631",""
"26004","Светлогорск","102114",""
"29634","Гродно и область","149",""
"102118","Волковысский район","29634",""
"26923","Волковыск","102118",""
"10274","Гродно","29634",""
"102125","Лидский район","29634",""
"21144","Лида","102125",""
"102127","Новогрудский район","29634",""
"26836","Новогрудок","102127",""
"102131","Слонимский район","29634",""
"26005","Слоним","102131",""
"102132","Сморгонский район","29634",""
"26017","Сморгонь","102132",""
"29630","Минск и область","149",""
"102156","Борисовский район","29630",""
"21193","Борисов","102156",""
"26034","Жодино","29630",""
"157","Минск","29630",""
"102165","Молодечненский район","29630",""
"26001","Молодечно","102165",""
"102169","Слуцкий район","29630",""
"26951","Слуцк","102169",""
"102170","Солигорский район","29630",""
"26003","Солигорск","102170",""
"29629","Могилёв и область","149",""
"20729","Бобруйск","29629",""
"102138","Горецкий район","29629",""
"26774","Горки","102138",""
"158","Могилёв","29629",""
"102149","Осиповичский район","29629",""
"26012","Осиповичи","102149",""
"159","Казахстан","166",""
"29414","Актау и Мангистауская область","159",""
"29404","Актобе и область","159",""
"29406","Алматы и область","159",""
"162","Алматы","29406",""
"10303","Талдыкорган","29406",""
"29403","Астана и Акмолинская область","159",""
"163","Астана","29403",""
"20809","Кокшетау","29403",""
"29407","Атырау и область","159",""
"29408","Восточно-Казахстанская область","159",""
"165","Семей","29408",""
"10306","Усть-Каменогорск","29408",""
"29410","Западно-Казахстанская область","159",""
"29411","Караганда и область","159",""
"29412","Костанай и область","159",""
"29413","Кызылорда и область","159",""
"29415","Павлодар и область","159",""
"29416","Северо-Казахстанская область","159",""
"29409","Тараз и Жамбылская область","159",""
"29417","Южно-Казахстанская область","159",""
"207","Киргизия","166",""
"208","Молдова","166",""
"209","Таджикистан","166",""
"170","Туркменистан","166",""
"171","Узбекистан","166",""
"187","Украина","166",""
"20545","Винница и область","187",""
"963","Винница","20545",""
"20537","Днепр и область","187",""
"141","Днепр","20537",""
"21775","Каменское","20537",""
"10347","Кривой Рог","20537",""
"21773","Никополь","20537",""
"28401","Павлоград","20537",""
"20536","Донецк и область","187",""
"21774","Горловка","20536",""
"142","Донецк","20536",""
"20554","Краматорск","20536",""
"24876","Макеевка","20536",""
"10366","Мариуполь","20536",""
"20547","Житомир и область","187",""
"20539","Запорожье и область","187",""
"960","Запорожье","20539",""
"20532","Ивано-Франковск и область","187",""
"20544","Киев и область","187",""
"10369","Белая Церковь","20544",""
"143","Киев","20544",""
"20548","Кропивницкий и Кировоградская область","187",""
"20540","Луганск и область","187",""
"24885","Алчевск","20540",""
"222","Луганск","20540",""
"24893","Северодонецк","20540",""
"20550","Луцк и Волынская область","187",""
"20529","Львов и область","187",""
"144","Львов","20529",""
"20543","Николаев и область","187",""
"148","Николаев","20543",""
"20541","Одесса и область","187",""
"145","Одесса","20541",""
"20549","Полтава и область","187",""
"21609","Кременчуг","20549",""
"964","Полтава","20549",""
"20534","Ровно и область","187",""
"20552","Сумы и область","187",""
"965","Сумы","20552",""
"20531","Тернополь и область","187",""
"20530","Ужгород и Закарпатская область","187",""
"20538","Харьков и область","187",""
"147","Харьков","20538",""
"20542","Херсон и область","187",""
"962","Херсон","20542",""
"20535","Хмельницкий и область","187",""
"961","Хмельницкий","20535",""
"20546","Черкассы и область","187",""
"20551","Чернигов и область","187",""
"29053","Нежин","20551",""
"20533","Черновцы и область","187",""
"111","Европа","0",""
"113","Австрия","111",""
"114","Бельгия","111",""
"115","Болгария","111",""
"102","Великобритания","111",""
"116","Венгрия","111",""
"96","Германия","111",""
"246","Греция","111",""
"203","Дания","111",""
"204","Испания","111",""
"205","Италия","111",""
"20574","Кипр","111",""
"206","Латвия","111",""
"117","Литва","111",""
"118","Нидерланды","111",""
"119","Норвегия","111",""
"120","Польша","111",""
"10074","Португалия","111",""
"10077","Румыния","111",""
"180","Сербия","111",""
"121","Словакия","111",""
"122","Словения","111",""
"983","Турция","111",""
"103668","Провинция Агры","983",""
"103669","Провинция Адана","983",""
"103670","Провинция Адыяман","983",""
"103671","Провинция Айдын","983",""
"103672","Провинция Аксарай","983",""
"103673","Провинция Амасья","983",""
"103674","Провинция Анкара","983",""
"103675","Провинция Анталья","983",""
"103676","Провинция Ардахан","983",""
"103677","Провинция Артвин","983",""
"103678","Провинция Афьонкарахисар","983",""
"103679","Провинция Байбурт","983",""
"103680","Провинция Балыкесир","983",""
"103681","Провинция Бартын","983",""
"103682","Провинция Батман","983",""
"103683","Провинция Биледжик","983",""
"103684","Провинция Бингёль","983",""
"103685","Провинция Битлис","983",""
"103686","Провинция Болу","983",""
"103687","Провинция Бурдур","983",""
"103688","Провинция Бурса","983",""
"103689","Провинция Ван","983",""
"103690","Провинция Газиантеп","983",""
"103691","Провинция Гиресун","983",""
"103692","Провинция Гюмюшхане","983",""
"103693","Провинция Денизли","983",""
"103694","Провинция Диярбакыр","983",""
"103695","Провинция Дюздже","983",""
"103696","Провинция Зонгулдак","983",""
"103697","Провинция Измир","983",""
"103698","Провинция Йозгат","983",""
"103699","Провинция Кайсери","983",""
"103700","Провинция Карабюк","983",""
"103701","Провинция Караман","983",""
"103702","Провинция Карс","983",""
"103703","Провинция Кастамону","983",""
"103704","Провинция Кахраманмараш","983",""
"103705","Провинция Килис","983",""
"103706","Провинция Коджаэли","983",""
"103707","Провинция Конья","983",""
"103708","Провинция Кыркларели","983",""
"103709","Провинция Кыршехир","983",""
"103710","Провинция Кырыккале","983",""
"103711","Провинция Кютахья","983",""
"103712","Провинция Малатья","983",""
"103713","Провинция Маниса","983",""
"103714","Провинция Мардин","983",""
"103715","Провинция Мерсин","983",""
"103716","Провинция Мугла","983",""
"103717","Провинция Муш","983",""
"103718","Провинция Невшехир","983",""
"103719","Провинция Нигде","983",""
"103720","Провинция Орду","983",""
"103721","Провинция Османие","983",""
"103722","Провинция Ризе","983",""
"103723","Провинция Сакарья","983",""
"103724","Провинция Самсун","983",""
"103725","Провинция Сивас","983",""
"103726","Провинция Сиирт","983",""
"103727","Провинция Синоп","983",""
"103728","Провинция Стамбул","983",""
"103729","Провинция Текирдаг","983",""
"103730","Провинция Токат","983",""
"103731","Провинция Трабзон","983",""
"103732","Провинция Тунджели","983",""
"103733","Провинция Ушак","983",""
"103734","Провинция Хаккяри","983",""
"103735","Провинция Хатай","983",""
"103736","Провинция Чанаккале","983",""
"103737","Провинция Чанкыры","983",""
"103738","Провинция Чорум","983",""
"103739","Провинция Шанлыурфа","983",""
"103740","Провинция Ширнак","983",""
"103741","Провинция Ыгдыр","983",""
"103742","Провинция Ыспарта","983",""
"103743","Провинция Эдирне","983",""
"103744","Провинция Элязыг","983",""
"103745","Провинция Эрзинджан","983",""
"103746","Провинция Эрзурум","983",""
"103747","Провинция Эскишехир","983",""
"103748","Провинция Ялова","983",""
"123","Финляндия","111",""
"124","Франция","111",""
"10083","Хорватия","111",""
"21610","Черногория","111",""
"125","Чехия","111",""
"126","Швейцария","111",""
"127","Швеция","111",""
"179","Эстония","111",""
"183","Азия","0",""
"169","Грузия","183",""
"181","Израиль","183",""
"994","Индия","183",""
"20975","Камбоджа","183",""
"134","Китай","183",""
"210","Объединённые Арабские Эмираты","183",""
"995","Таиланд","183",""
"135","Южная Корея","183",""
"137","Япония","183",""
"241","Африка","0",""
"1056","Египет","241",""
"10002","Северная Америка","0",""
"95","Канада","10002",""
"84","США","10002",""
"10003","Южная Америка","0",""
"93","Аргентина","10003",""
"94","Бразилия","10003",""
"138","Австралия и Океания","0",""
"211","Австралия","138",""
"139","Новая Зеландия","138",""
